1. HTS_Number: 6913.10.00.00 | Full_Description: Statuettes and other ornamental ceramic articles: - Of porcelain or china: | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 30% | Additional_Duties: 
67. HTS_Number: 7018.10.10.00 | Full_Description: Glass beads, imitation pearls, imitation precious or semiprecious stones and similar glass smallwares and articles thereof other than imitation jewelry; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass, other than imitation jewelry; glass microspheres not exceeding 1 mm in diameter: - Glass beads, imitation pearls, imitation precious or semiprecious stones and similar glass smallwares: - Imitation pearls and imitation pearl beads of all shapes and colors, drilled or not drilled, but not strung (except temporarily) and not set | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

68. HTS_Number: 9703.00.00.00 | Full_Description: Original sculptures and statuary, in any material: | General_Rate_of_Duty:  | Special_Rate_of_Duty:  | Column_2_Rate_of_Duty:  | Additional_Duties: 

69. HTS_Number: 6909.19.50.10 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Ceramic wares for laboratory, chemical or other technical uses: - Other: - Other - Ceramic bearings | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

70. HTS_Number: 6911.10.35.10 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $56 - Plates not over 27.9 cm in maximum dimension; teacups and saucers; mugs; soups, fruits and cereals, the foregoing not over 22.9 cm in maximum dimension | General_Rate_of_Duty: 26% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

71. HTS_Number: 6907.30.10.51 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Mosaic cubes and the like, other than those of subheading 6907.40: - Unglazed - Other: - Other | General_Rate_of_Duty: 10% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

72. HTS_Number: 9601.90.40.00 | Full_Description: Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding): - Other: - Coral, cut but not set, and cameos, suitable for use in jewelry | General_Rate_of_Duty: 2.10% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 10% | Additional_Duties: 

73. HTS_Number: 6910.10.00.50 | Full_Description: Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet bowls, flush tanks, urinals and similar sanitary fixtures: - Of porcelain or china - Other | General_Rate_of_Duty: 5.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

74. HTS_Number: 7013.10.50.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Of glass-ceramics: - Other | General_Rate_of_Duty: 26% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

75. HTS_Number: 7013.10.00.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Of glass-ceramics: | General_Rate_of_Duty: 3.90% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 50% | Additional_Duties: 

76. HTS_Number: 6907.30.10.00 | Full_Description: Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics: - Mosaic cubes and the like, other than those of subheading 6907.40: - Unglazed | General_Rate_of_Duty: 10% | Special_Rate_of_Duty: Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 55% | Additional_Duties: 

77. HTS_Number: 6909.90.00.00 | Full_Description: Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, jars and similar articles of a kind used for the conveyance or packing of goods: - Other | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

78. HTS_Number: 7113.11.10.00 | Full_Description: Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal: - Of precious metal whether or not plated or clad with precious metal: - Of silver, whether or not plated or clad with other precious metal: - Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading | General_Rate_of_Duty: 6.30% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 80% | Additional_Duties: 

79. HTS_Number: 6910.10.00.00 | Full_Description: Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet bowls, flush tanks, urinals and similar sanitary fixtures: - Of porcelain or china | General_Rate_of_Duty: 5.80% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

80. HTS_Number: 6911.10.41.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Other: - Steins with permanently attached pewter lids, candy boxes, decanters, punch bowls, pretzel dishes, tidbit dishes, tiered servers, bonbon dishes, egg cups, spoons and spoon rests, oil and vinegar sets, tumblers and salt and pepper shaker sets | General_Rate_of_Duty: 6.30% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 70% | Additional_Duties: 

81. HTS_Number: 9703.10.00.00 | Full_Description: Original sculptures and statuary, in any material: - Of an age exceeding 100 years | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: Free | Additional_Duties: 

82. HTS_Number: 7013.99.60.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Other glassware: - Other: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $3 but not over $5 each | General_Rate_of_Duty: 15% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

83. HTS_Number: 7113.19.10.00 | Full_Description: Articles of jewelry and parts thereof, of precious metal or of metal clad with precious metal: - Of precious metal whether or not plated or clad with precious metal: - Of other precious metal, whether or not plated or clad with precious metal: - Rope, curb, cable, chain and similar articles produced in continuous lengths, all the foregoing, whether or not cut to specific lengths and whether or not set with imitation pearls or imitation gemstones, suitable for use in the manufacture of articles provided for in this heading | General_Rate_of_Duty: 7% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 80% | Additional_Duties: 

84. HTS_Number: 6911.10.35.00 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $56 | General_Rate_of_Duty: 26% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

85. HTS_Number: 7013.37.30.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Other drinking glasses, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $3 but not over $5 each | General_Rate_of_Duty: 11.30% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

86. HTS_Number: 9902.14.79.00 | Full_Description: Kitchenware of glass-ceramics, non-glazed and greater than 75 percent by volume crystalline (provided for in subheading 7013.10.10) | General_Rate_of_Duty: Free | Special_Rate_of_Duty: No change | Column_2_Rate_of_Duty: No change | Additional_Duties: 

87. HTS_Number: 7013.99.70.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Other glassware: - Other: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $5 each | General_Rate_of_Duty: 7.20% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

88. HTS_Number: 7117.19.90.00 | Full_Description: Imitation jewelry: - Of base metal, whether or not plated with precious metal: - Other: - Other: - Other | General_Rate_of_Duty: 11% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 110% | Additional_Duties: 

89. HTS_Number: 6911.10.35.50 | Full_Description: Tableware, kitchenware, other household articles and toilet articles, of porcelain or china: - Tableware and kitchenware: - Other: - Other: - Available in specified sets: - In any pattern for which the aggregate value of the articles listed in additional U.S. note 6(b) of this chapter is not over $56 - Other | General_Rate_of_Duty: 26% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 75% | Additional_Duties: 

90. HTS_Number: 7117.19.00.00 | Full_Description: Imitation jewelry: - Of base metal, whether or not plated with precious metal: - Other: | General_Rate_of_Duty: 4% | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 65% | Additional_Duties: 

91. HTS_Number: 7013.37.40.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Other drinking glasses, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved: - Valued over $5 each | General_Rate_of_Duty: 5% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

92. HTS_Number: 9601.90.80.00 | Full_Description: Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding): - Other: - Other | General_Rate_of_Duty: 3.70% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 20% | Additional_Duties: 

93. HTS_Number: 7013.28.30.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Stemware drinking glasses, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved - Valued over $3 but not over $5 each | General_Rate_of_Duty: 11.30% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

94. HTS_Number: 9902.14.80.00 | Full_Description: Opaque cooking ware of glass-ceramics (provided for in subheading 7013.10.50) | General_Rate_of_Duty: 7.10% | Special_Rate_of_Duty: No change | Column_2_Rate_of_Duty: No change | Additional_Duties: 

95. HTS_Number: 7116.20.05.00 | Full_Description: Articles of natural or cultured pearls, precious or semiprecious stones (natural, synthetic or reconstructed): - Of precious or semiprecious stones (natural, synthetic or reconstructed): - Articles of jewelry: - Valued not over $40 per piece | General_Rate_of_Duty: 3.30% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 80% | Additional_Duties: 

96. HTS_Number: 7013.28.40.00 | Full_Description: Glassware of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than that of heading 7010 or 7018): - Stemware drinking glasses, other than of glass-ceramics: - Other: - Other: - Valued over $3 each: - Cut or engraved - Valued over $5 each | General_Rate_of_Duty: 5% | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 60% | Additional_Duties: 

97. HTS_Number: 7117.90.90.00 | Full_Description: Imitation jewelry: - Other: - Other: - Valued over 20 cents per dozen pieces or parts: - Other: - Other | General_Rate_of_Duty: 11% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 110% | Additional_Duties: 

98. HTS_Number: 9601.90.20.00 | Full_Description: Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding): - Other: - Worked shell and articles thereof | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 35% | Additional_Duties: 

99. HTS_Number: 7117.90.55.00 | Full_Description: Imitation jewelry: - Other: - Other: - Valued not over 20 cents per dozen pieces or parts: - Other | General_Rate_of_Duty: 7.20% | Special_Rate_of_Duty: Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

100. HTS_Number: 6903.10.00.00 | Full_Description: Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods and slide gates), other than those of siliceous fossil meals or of similar siliceous earths: - Containing by weight more than 50 percent of free carbon | General_Rate_of_Duty: Free | Special_Rate_of_Duty: Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) | Column_2_Rate_of_Duty: 45% | Additional_Duties: 

